rhor,xne,xni,xte,xti,xer,fz1,fracz,exlti,exlte,vpolC,vtorC,exlni
6.25E-01,5.30E+19,3.48E+19,1086.0356,1134.3537,31111.517,1.79E+19,0.025,0.29973111,0.27252176,-1369.9127,113483.36,-2.5193515
6.30E-01,5.30E+19,3.49E+19,1076.2875,1125.1282,30947.914,1.78E+19,0.025,0.29828963,0.26901523,-1403.049,112859.97,-2.4487011
6.35E-01,5.30E+19,3.49E+19,1066.5531,1115.9767,30793.791,1.78E+19,0.025,0.29673234,0.26553571,-1436.7165,112246.53,-2.4099085
6.40E-01,5.31E+19,3.49E+19,1056.8345,1106.9128,30635.67,1.78E+19,0.025,0.2951991,0.26224195,-1470.9195,111647.4,-2.3973434
6.45E-01,5.31E+19,3.50E+19,1047.1279,1097.9102,30475.372,1.78E+19,0.025,0.29343852,0.25887387,-1505.6622,111061.6,-2.4146023
6.50E-01,5.31E+19,3.50E+19,1037.4428,1088.9685,30306.618,1.78E+19,0.025,0.29167441,0.25566861,-1540.9489,110488.15,-2.4585309
6.55E-01,5.31E+19,3.51E+19,1027.7769,1080.1035,30149.605,1.78E+19,0.025,0.28978479,0.25248995,-1576.7833,109920.55,-2.5325217
6.60E-01,5.32E+19,3.51E+19,1018.131,1071.295,29977.926,1.78E+19,0.025,0.28770146,0.24928779,-1613.1697,109361.13,-2.6472714
6.65E-01,5.32E+19,3.52E+19,1008.5144,1062.5354,29806.082,1.78E+19,0.025,0.28580812,0.24637595,-1650.1175,108812.94,-2.8087707
6.70E-01,5.33E+19,3.52E+19,998.91856,1053.8417,29629.967,1.79E+19,0.025,0.28349382,0.24326806,-1687.6302,108274.91,-2.9777336
6.75E-01,5.33E+19,3.52E+19,989.35334,1045.1989,29451.002,1.79E+19,0.025,0.28141487,0.24049302,-1725.6842,107745.99,-3.1064699
6.80E-01,5.34E+19,3.52E+19,979.82222,1036.594,29272.696,1.79E+19,0.025,0.27901533,0.23760777,-1764.3107,107222.36,-3.1823642
6.85E-01,5.34E+19,3.52E+19,970.31642,1028.0441,29103.806,1.80E+19,0.025,0.2765187,0.23476871,-1803.5142,106703.09,-3.1936779
6.90E-01,5.35E+19,3.52E+19,960.85229,1019.5381,28928.881,1.80E+19,0.025,0.27410427,0.23215713,-1843.2988,106191.94,-3.1386378
6.95E-01,5.36E+19,3.53E+19,951.42156,1011.0605,28752.308,1.81E+19,0.025,0.27142408,0.22944652,-1883.6688,105687.85,-3.0226815
7.00E-01,5.37E+19,3.53E+19,942.02911,1002.627,28572.054,1.81E+19,0.025,0.26883292,0.22695054,-1924.6286,105189.76,-2.8611641
7.05E-01,5.37E+19,3.53E+19,932.6867,994.22781,28388.941,1.82E+19,0.025,0.26592112,0.22432125,-1966.154,104696.59,-2.6690867
7.10E-01,5.38E+19,3.54E+19,923.37439,985.8505,28213.514,1.82E+19,0.025,0.26296175,0.22179653,-2008.2774,104203.95,-2.4545729
